序号,标题,内容,Title,Content
39,哭严仆射归榇,素幔随流水，归舟返旧京。老亲如宿昔，部曲异平生。风送蛟龙雨，天长骠骑营。一哀三峡暮，遗后见君情。,A Lament when the Coffin of ViceDirector Yan Wu was being Sent Home,"The white hangings go along with the current, 
the homeward boat takes you back to the capital. 
Your aged mother is as she used to be,
but the regiments differ from when you lived. 
The winds see off the casket figured with dragons,
the heaven stretches on in the camp of the Fleet General.
I lament until dusk falls on the Three Gorges,
after your death I see your feelings for me."
40,陪章留后惠义寺饯嘉州崔都督赴州,中军待上客，令肃事有恒。前驱入宝地，祖帐飘金绳。南陌既留欢，兹山亦深登。清闻树杪磬，远谒云端僧。回策匪新岸，所攀仍旧藤。耳激洞门飙，目存寒谷冰。出尘閟轨躅，毕景遗炎蒸。永愿坐长夏，将衰栖大乘。羁旅惜宴会，艰难怀友朋。劳生共几何，离恨兼相仍。,Accompanying Deputy Zhang Holding a Parting Banquet in Huiyi Temple for Commander Cui of Jiazhou as He Sets Out for His Prefecture,"When the central command entertains a high-ranking guest, 
orders are strict, matters are handled by the norms.
The outriders enter the jeweled land,
by the parting tent flutter golden cords.
Having lingered in merriment on the southern lanes, 
we also climb deep into this mountain.
We hear clearly the chimes in the treetops,
and, going far, pay respects to monks at clouds' edge. 
For the turning mounts this is no new slope,
what we use to climb are the still familiar vines. 
Our ears are stirred by gusts from grotto openings,
our eyes rest on ice from cold valleys.
Leaving the dust, closed off from carriage ruts, 
we leave behind muggy heat until day's end.
I wish to sit through all the long summer days,
getting frail, to find rest in the Greater Vehicle. 
Lodging on travels, I treasure parties,
in hardships I think on friends.
Burdened with life, how much longer can it last? -
the distress of parting keeps going on as well."
41,送韦郎司直归成都,窜身来蜀地，同病得韦郎。天下干戈满，江边岁月长。别筵花欲暮，春日鬓俱苍。为问南溪竹，抽梢合过墙。,Seeing Off Rectifier Wei on His Return to Chengdu ,"I came to the land of Shu to hide out,
and found Master Wei who shares the same trouble.
The world is filled with the clash of arms,
years and months grow long by the riverside.
At the parting feast the flowers are almost ending,
a spring day, both our tresses are graying.
Find out for me about the bamboo at southern creek, 
their sprouting tips must have risen over my wall."
42,草堂,昔我去草堂，蛮夷塞成都。今我归草堂，成都适无虞。请陈初乱时，反复乃须臾。大将赴朝廷，群小起异图。中宵斩白马，盟歃气已粗。西取邛南兵，北断剑阁隅。布衣数十人，亦拥专城居。其势不两大，始闻蕃汉殊。西卒却倒戈，贼臣互相诛。焉知肘腋祸，自及枭獍徒。,Thatched Cottage,"When I left my thatched cottage long ago, 
barbarians were filling Chengdu.
Now when I return to my thatched cottage,
it's a time when Chengdu has no worries.
Let me recount when the revolt first occurred: 
things turned upside down in an instant.
The great general had gone off to court,
and a group of underlings raised rebellious plots.
In the middle of the night they cut open a white horse, 
they made a blood-pact, their temper already harsh. 
They gathered troops from Qiongnan in the west
and to the north cut off a corner of the Jian'ge Road.
Several dozen commoners
also crowded to take charge of the city. 
The situation did not admit two chiefs,
then we heard of differences between Chinese and Tibetans. 
The western troops instead turned pikes on each other,
and rebel officials killed one another.
Who would have thought ruin from those most close
would spread on its own to those ""owls and wildcats""? 
Men with a sense of right were pained and enraged 
how political order had succumbed in turmoil.
One domain indeed then had three lords,
and the myriad folk were almost made food for the fish. 
Chiming in together, chastising and rewarding,
no one was willing to distinguish the guiltless. 
Before their eyes were lined up stocks and pillories,
behind their backs reed organs were playing. 
Laughing and chatting, they butchered people, 
and the splashing blood filled the long avenues. 
To this very day where they used the axe
one hears voices cry out in the wind and rain.
The concubines and horses of ghosts 
with sad mien served your pleasures. 
The laws of our dynasty are still in place,
so such things are enough to make one gasp with shock. 
This poor fellow ran away for the while
and for three years gazed toward eastern Wu. 
Bows and arrows darken the river and seas,
it would have been hard to visit the five lakes.
In the end I couldn't bear to abandon this spot 
and came back to cut away the brush and weeds. 
Coming in the gate, the four pines were still here,
I walked in my clogs among ten thousand bamboo, sparsely spread. 
The old dog is happy that I returned,
hanging around me he goes under my robes. 
The neighbor is happy that I returned,
he buys ale and brings it in a gourd.
The great official is happy that I returned, 
he sends riders to ask what I need.
The city is happy that I returned,
visitors block the village.
The world is still not yet at peace,
regular troops are superior to hack scholars. 
Tossed about at the edge of wind-blown dust,
in what place can this old fellow settle peacefully?
In these times I am seen as a wart,
luckily my bones are not yet bare and dry.
Contentment with getting enough to eat shames my last days,
I dare not look for more than eating wild beans."
43,春归,苔径临江竹，茅檐覆地花。别来频甲子，倏忽又春华。倚杖看孤石，倾壶就浅沙。远鸥浮水静，轻燕受风斜。世路虽多梗，吾生亦有涯。此身醒复醉，乘兴即为家。,Return in Spring,"Mossy path, bamboo overlooking the river, 
thatched eaves, flowers that cover the ground. 
Many sixty-day cycles since I left,
now coming back, suddenly spring is in bloom. 
Leaning on a cane, I look at a lone rock,
I go to sandy shallows to drain my jug. 
Far off gulls serene, float on the waters,
light swallows slant, catching the wind.
Though obstacles are many on the roads of the age, 
my life too has its limits.
This body sobers and gets drunk again,
when I follow my whim, that is home."
44,奉寄别马巴州时甫除京兆功曹在东川,勋业终归马伏波，功曹非复汉萧何。扁舟系缆沙边久，南国浮云水上多。独把鱼竿终远去，难随鸟翼一相过。知君未爱春湖色，兴在骊驹白玉珂。,Respectfully Sent on Parting From Ma of Bazhou,"Merit's legacy will go at last to Wave-Quelling General Ma, 
Personnel Evaluation, no second Xiao He of Han.
Tiny boat, its moorings tied long beside the sands,
southern lands, the drifting clouds many over the water. 
Alone holding a fishing pole at last I will go off far, 
hard to go with the wings of birds to stop by even once.
I know that you do not yet love the colors of spring lakes,
your thrill is in a black colt and its white jade trappings."
45,归雁,东来万里客，乱定几年归。肠断江城雁，高高向北飞。,Returning Wild Geese,"Traveler from the east across thousands of miles, 
the rebellion settled, when will I return?
The heart breaks at the geese in this river city, 
flying directly north, so high."
46,寄司马山人十二韵,关内昔分袂，天边今转蓬。驱驰不可说，谈笑偶然同。道术曾留意，先生早击蒙。家家迎蓟子，处处识壶公。长啸峨嵋北，潜行玉垒东。有时骑猛虎，虚室使仙童。发少何劳白，颜衰肯更红。望云悲轗轲，毕景羡冲融。丧乱形仍役，凄凉信不通。悬旌要路口，倚剑短亭中。永作殊方客，残生一老翁。相哀骨可换，亦遣驭清风。,To the Mountain Man Sima: Twelve Couplets ,"Long ago we parted in the capital region,
now, dandelion puffs tossed along on the horizon.
I cannot tell you how I have rushed here and there,
now by chance we come together in chat and laughter. 
I used to pay attention to the arts of the Way,
you, master, early dispelled my ignorance. 
Every household welcomed a Ji Zixun,
Everywhere, they recognized Lord Pot. 
Whistling long, north of Emei,
going unseen east of Jade Fort Mountain. 
Sometimes you ride a fierce tiger,
in your bare chamber you employ an immortal servant lad.
My hair is so sparse it doesn't need to get white, 
can my aging complexion grow ruddy again?
Gazing on the clouds, I grieve for all my rough going,
at day's end, I admire your mellow contentment. 
Amid turmoil and ruin, I'm still slave to my body, 
bleak isolation, letters do not get through.
Army banners hang at the entrance to key roads,
swords hang from waists in five-league pavilions. 
I will ever be a sojourner in strange places,
an old man in the last years of life.
If you feel sorry for me, my bones can be changed,
and you can also make me ride on the clear wind."
47,暮寒,雾隐平郊树，风含广岸波。沉沉春色静，惨惨暮寒多。戍鼓犹长击，林莺遂不歌。忽思高宴会，朱袖拂云和。,Evening Cold,"Fog hides the trees on the level moor,
wind carries the waves on the distant shore.
All sunken, spring's colors are calm,
dreary, there is much evening cold. 
Garrison drums are still steadily beaten, 
so that orioles in the woods do not sing. 
I suddenly think on a noble banquet,
red sleeves brushing the zither of Mount Yunhe."
48,破船,平生江海心，宿昔具扁舟。岂惟青溪上，日傍柴门游。苍皇避乱兵，缅邈怀旧丘。邻人亦已非，野竹独修修。船舷不重扣，埋没已经秋。仰看西飞翼，下愧东逝流。故者或可掘，新者亦易求。所悲数奔窜，白屋难久留。,Broken Boat,"All my life, a heart set on the river and lakes, 
long ago I made ready a small boat.
It wasn't only for roaming on the blue creek
daily staying close to my ramshackle gate.
When in panic I fled the rebellious troops
from far off I thought of this, my former home. 
Even my neighbor now is gone,
the wild bamboo alone are tall.
No more will I rap time on its gunwales, 
it has already been buried a full autumn.
I look up and watch the wings flying west,
below, I'm put to shame by the stream going east. 
Perhaps I could dig out the old one,
and a new one is easy to find.
What bothers me is running away to hide so often,
that in this plain cottage I can't stay long."
49,双燕,旅食惊双燕，衔泥入此堂。应同避燥湿，且复过炎凉。养子风尘际，来时道路长。今秋天地在，吾亦离殊方。,A Pair of Swallows,"Lodging on my journey I was startled by a pair of swallows, 
mud in beaks, entering this hall.
They must be fleeing the world's vicissitudes like me,
and also passing through situations too hot and too cold.
They raise their young in the windblown dust,
the road was long to come here.
This autumn heaven and earth will remain,
and I too will leave this strange land."
50,水槛,苍江多风飙，云雨昼夜飞。茅轩驾巨浪，焉得不低垂。游子久在外，门户无人持。高岸尚如谷，何伤浮柱欹。扶颠有劝诫，恐贻识者嗤。既殊大厦倾，可以一木支。临川视万里，何必阑槛为。人生感故物，慷慨有馀悲。,Deck by the Water,"Winds often gust hard on the gray river, 
rain and clouds fly day and night.
This thatched porch mounted over mighty waves -
how could it help sagging down low? 
Long did the owner roam abroad - 
there was no one to maintain the place. 
If even high slopes turn to valleys,
why care that these posts in the water are leaning? 
A precept tells us ""Support what totters"":
I suspect I'll be laughed at by those who know. 
Yet this differs from a mighty hall's collapse	
it can be propped up by just a single beam.
You can see thousands of miles from the riverside - 
what need is there for a porch?
But people are moved by familiar things,
and I am overwhelmed with grief."
51,送舍弟频赴齐州三首,岷岭南蛮北，徐关东海西。此行何日到，送汝万行啼。绝域惟高枕，清风独杖藜。危时暂相见，衰白意都迷。风尘暗不开，汝去几时来？兄弟分离苦，形容老病催。江通一柱观，日落望乡台。客意长东北，齐州安在哉！诸姑今海畔，两弟亦山东。去傍干戈觅，来看道路通。短衣防战地，匹马逐秋风。莫作俱流落，长瞻碣石鸿。,Seeing Off My Brother Ying On His Way to Qizhou I II III,"Min's peak lies north of the southern Mon, 
Xu Pass lies just west of the Eastern Sea.
What day will you reach there on your journey? -
I see you off with ten thousand strands of tears.
In a remote region I only rest aloof from things, 
in the clear breeze I lean on my cane alone.
In times of peril we saw each other a brief while, 
aging, white-haired, our minds both in a daze.  

Dust in the wind darkens without clearing away, 
you go off, but when will you come again?
For brothers separation is bitter,
age and illness hasten the change in my looks. 
The river passes through to One Pillar Pavilion, 
the sun sets on Gazing Homeward Terrace.
My sojourner's thoughts will be ever in the northeast:
where indeed is Qizhou? 

All our aunts now live by the sea,
two of our brothers live East of the Mountains. 
You go off to find them near the clash of arms,
coming back, look to see if the roads are passable.
Short robes, a place where they defend embattled land, 
a single horse moving with autumn's wind.
Let us not both drift about, down and out,
I will ever spy for the swan from Jie Rock."
52,宿府,清秋幕府井梧寒，独宿江城蜡炬残。永夜角声悲自语，中天月色好谁看。风尘荏苒音书绝，关塞萧条行路难。已忍伶俜十年事，强移栖息一枝安。,Staying Overnight at Headquarters ,"Clear autumn at headquarters, the tung tree by the well is cold, 
I spend the night alone in this river city, the wax torch dying.
Through the long night the sound of the horn sadly speaks to itself,
the color of the moon mid-sky is quite fine - but who looks at it? 
The dust of armies goes on and on, all news is cut off, 
in the dreariness of barrier passes, hard traveling.
I have put up with rootless wandering, it's been this way ten years,
I make myself move to take a roost on one secure branch."
53,游子,巴蜀愁谁语，吴门兴杳然。九江春草外，三峡暮帆前。厌就成都卜，休为吏部眠。蓬莱如可到，衰白问群仙。,Traveler,"To whom can I tell my sadness in Ba and Shu? - 
my elation for Wumen is faint in the distance.
Nine Rivers lie out beyond the spring plants,
the Three Gorges, ahead of my twilight sail.
I am weary making divinations in Chengdu, 
let me cease the sleep of Bi Zhuo.
If ever I can reach Penglai,
in white-haired decline, I'll pay respects to the immortals."
54,赠王二十四侍御契四十韵,往往虽相见，飘飘愧此身。不关轻绂冕，俱是避风尘。一别星桥夜，三移斗柄春。败亡非赤壁，奔走为黄巾。子去何潇洒，余藏异隐沦。书成无过雁，衣故有悬鹑。恐惧行装数，伶俜卧疾频。晓莺工迸泪，秋月解伤神。会面嗟黧黑，含凄话苦辛。接舆还入楚，王粲不归秦。锦里残丹灶，花溪得钓纶。消中只自惜，晚起索谁亲。伏柱闻周史，乘槎有汉臣。鸳鸿不易狎，龙虎未宜驯。客则挂冠至，交非倾盖新。由来意气合，直取性情真。浪迹同生死，无心耻贱贫。偶然存蔗芋，幸各对松筠。粗饭依他日，穷愁怪此辰。女长裁褐稳，男大卷书匀。漰口江如练，蚕崖雪似银。名园当翠巘，野棹没青苹。屡喜王侯宅，时邀江海人。追随不觉晚，款曲动弥旬。但使芝兰秀，何烦栋宇邻。山阳无俗物，郑驿正留宾。出入并鞍马，光辉参席珍。重游先主庙，更历少城闉。石镜通幽魄，琴台隐绛唇。送终惟粪土，结爱独荆榛。置酒高林下，观棋积水滨。区区甘累趼，稍稍息劳筋。网聚粘圆鲫，丝繁煮细莼。长歌敲柳瘿，小睡凭藤轮。农月须知课，田家敢忘勤。浮生难去食，良会惜清晨。列国兵戈暗，今王德教淳。要闻除猰貐，休作画麒麟。洗眼看轻薄，虚怀任屈伸。莫令胶漆地，万古重雷陈。,Presented to Attendant Censor Wang Qi: forty couplets ,"Although I meet you wherever I go,
I'm ashamed that this body is swept here and there.
It had nothing to with despising ribbons and cap,
it was just to avoid the dust of war.
Once I left you that night on Seven Star Bridge, 
thrice the Dipper's Handle has shifted to spring. 
His defeat was not as at Red Cliff,
I fled because of the Yellow Turbans.
How free and easy you were when you left,
but my hiding was different from that of a recluse. 
I finished a letter, but no geese were passing,
my clothes grew old with patches and tatters. 
I often packed my bags in fright,
I frequently lay sick as I drifted alone.
Dawn orioles were expert at making tears gush,
the autumn moon understood how to wound my soul. 
Those I meet exclaim how my face has darkened, 
biting back gloom, I tell of my sufferings.
Jieyu has come back into Chu,
and Wang Can will not return to Qin.
In Brocade City my cinnabar stove is left,
I found my fishing line at Washing-Flower Creek. 
With diabetes I can only pity myself.
getting up late, what close friend can I seek?
I have heard of the Zhou Archivist, crouching by the pillar, 
there was a Han officer who rode a raft.
Not easy to trifle with phoenix or swan,
nor proper to tame dragon or tiger.
The wayfarer arrives, having hung up his cap,
our association is not new, the carriage awning-tipping kind. 
Our temperaments have always coincided,
we each prefer the genuineness of the other's nature.
In my aimless goings, I am indifferent whether I live or die, 
I have no mind to be ashamed at my poverty.
By chance my sugar cane and taros have survived,
and fortunately we can each face pine and bamboo. 
Coarse meals are as in days before,
but I'm shocked at the poverty and misery of the present times.
My daughter has grown up, sure-handed in making homespun clothes,
my boy is big now, he rolls the scrolls up evenly. 
At Pengkou the river is like white satin,
the snow of Silkworm Slope resembles silver. 
Famous gardens face azure pinnacles,
rustic oars sink into green water-clover.
I am often delighted that such a princely residence 
repeatedly invites this man of the river and sea.
In your company I don't notice it getting late,
in your sincere warmth, ten days are suddenly past.
If only the numinous mushroom and orchid are flourishing, 
why care whether our roofs and beams are neighboring? 
There is no common creature at Shanyang,
Zheng's welcome lodge now detains a guest.
We come in and go out on horseback side by side, 
in splendor we join the ""treasures of the feast mat."" 
Again we visit the temple to the First Ruler,
then go on to pass through the postern of the ""little city.""
The Stone Mirror communicates with a hidden soul, 
the Zither Terrace hides those crimson lips.
She who was sent on her final journey is only dirt and dung,
she with whom he fell in love is just brambles and brush. 
We set out ale under the tall trees of a grove,
we watch chess on the shores of deep waters.
An insignificant person, I am willing to have calloused feet,
but I can rest these belabored sinews just a bit. 
Clustered in the net, round golden carp are stuck, 
we boil the fine water-shield with abundant fibers. 
With long songs we tap on a willow's gall,
we lean on a wisteria wreath for a nap.
In the farming months you must oversee tasks - 
dare the field-hands fail to do their utmost?
Hard to go without food in this life adrift,
we cherish the clear morning for a fine meeting. 
All the domains are darkened by the clash of arms, 
our present king's lessons of virtue are pure.
I'd like to hear that we are rid of the monsters -
cease painting portraits in Unicorn Gallery.
My eyes, washed clear, look on careless, unfeeling ways, 
empty of concern whether I am successful or not.
Let us not in the world of friends that stick together like glue
have men value only Lei and Chen forever."
55,至后,冬至至后日初长，远在剑南思洛阳。青袍白马有何意，金谷铜驼非故乡。梅花欲开不自觉，棣萼一别永相望。愁极本凭诗遣兴，诗成吟咏转凄凉。,After the Solstice,"After the winter solstice has arrived the days begin to get longer, 
far off in Jiannan, I am longing for Luoyang.
A blue robe and white horse, what do they matter to me? --
they are not my home, with its Golden Valley and the bronze camels. 
The plum blossoms are about to open, but I don't notice them,
for once parted from the sugarplum calyx I am ever gazing. 
At sorrow's height I always rely on poems to vent my mood,
when a poem is done and I chant it, I get even more gloomy."
56,自阆州领妻子却赴蜀山行三首,汩汩避群盗，悠悠经十年。不成向南国，复作游西川。物役水虚照，魂伤山寂然。我生无倚着，尽室畏途边。长林偃风色，回复意犹迷。衫裛翠微润，马衔青草嘶。栈悬斜避石，桥断却寻溪。何日干戈尽，飘飘愧老妻。行色递隐见，人烟时有无。仆夫穿竹语，稚子入云呼。转石惊魑魅，抨弓落狖鼯。真供一笑乐，似欲慰穷途。,From Langzhou Taking My Wife and Children Back to Shu; Traveling in the Mountains I II III,"Rushing headlong, we fled the rebels, 
going on and on, we passed ten years.
I didn't accomplish setting off toward southern lands,
now again we make our journey to West River.
Servant to material things, water's insubstantial reflection; 
soul wounded, the mountains lonely and still.
My life has no place to rest securely,
the whole family by the perilous road.

Tall forests, bent low in the wind,
turning this way and that, still can't tell where we are. 
Vests moist, wet by azure mist,
the horse neighs with green plants in its mouth. 
Plank walkway, bending aside to avoid the rock,
bridge broken, we go back to find a crossing over the creek. 
When will the clash of arms be done? -
tossed along, I am shamed before my wife.

Appearance of travelers alternately hidden and appearing, 
smoke of habitation is sometimes there, sometimes not. 
My servant talks as he winds through bamboo,
my boy goes off into the clouds and shouts. 
Rocks set rolling startle goblins,
twanging bow fells monkey and flying squirrel. 
Truly these provide us a moment of mirth,
as if wanting to console us a bit in the hardships of travel."
57,别常徵君,儿扶犹杖策，卧病一秋强。白发少新洗，寒衣宽总长。故人忧见及，此别泪相忘。各逐萍流转，来书细作行。,"Parting from Chang, Summoned Gentleman ","My son supports me, still leaning on my cane,
I've been bedridden for more than the whole autumn.
My white hair seems thin when newly washed,
my winter clothes are too large and long. 
My old friend has worried about me,
at this parting, we gaze on each other in tears.
Each of us will turn in the current with the duckweed,
when you send a letter, make the lines small."
58,别房太尉墓阆州,他乡复行役，驻马别孤坟。近泪无干土，空山有断云。对棋陪谢傅，把剑觅徐君。唯见林花落，莺啼送客闻。,"Taking Leave of the Grave of Defender-in-Chief Fang
","Again enforced travel in a strange land,
I halt my horse and take leave of his lonely tomb.
From recent tears there is no dry earth,
lowering in the sky there are broken clouds. 
Facing the go-board, in the company of tutor Xie; 
taking sword in hand, I seek the lord of Xu.
I see only the flowers falling in the woods,
orioles cry out, heard sending the traveler on his way."
59,春远,肃肃花絮晚，菲菲红素轻。日长唯鸟雀，春远独柴荆。数有关中乱，何曾剑外清。故乡归不得，地入亚夫营。,Spring Goes Far Away,"In the stillness the willow flower floss grows late, 
a sifting flurry, red and white toss lightly.
As days lengthen, just the sparrows,
spring goes far away, only my ramshackle house. 
Often there is fighting Within-the-Passes,
and when was Jianwai ever peaceful?
I cannot get to return to my homeland,
the place is now in Yafu's camp."
60,怀锦水居止二首（其二),层轩皆面水，老树饱经霜。雪岭界天白，锦城曛日黄。惜哉形胜地，回首一茫茫。,"
Thinking Back on My Lodgings by the Brocade River II","A cottage south of the Thousand League Bridge, 
an estate north of Hundred Flowers Pool.
High balconies all face the waters,
old trees are sturdy from living through the frost. 
Snow Ridges, white edging the heavens,
Brocade City, yellow in fading sunlight. 
Alas, this place of splendid scenes -
I turn my head and it is utterly a blur."
61,怀锦水居止二首（其一),军旅西征僻，风尘战伐多。独闻蜀父老，不忘舜讴歌。天险终难立，柴门岂重过？朝朝巫峡水，远逗锦江波。,"
Thinking Back on My Lodgings by the Brocade River I","The army marches west to remote places,
amid wind-blown dust, there is much fighting. 
I have heard that still the elders of Shu
have not forgotten the songs of our Shun.
A natural fastness, but hard at last to hold, 
never again will I pass my ramshackle gate. 
Every morning the waters in the Wu Gorges
draw the waves of Brocade River from afar."
62,旅夜书怀,细草微风岸，危樯独夜舟。星垂平野阔，月涌大江流。名岂文章著，官应老病休。飘零何所似？天外一沙鸥。,Writing of My Feelings Traveling by Night,"Thin plants, a shore with faint breeze, 
looming mast, lone night boat.
Stars suspended over the expanse of the wild plain,
the moon surges as the great river flows on.
My name will never be known from my writings, 
aging and sick, I should quit my post.
Wind-tossed, what is my likeness? -
between Heaven and Earth, a single sandgull."
63,宿青溪驿奉怀张员外十五兄之绪,漾舟千山内，日入泊枉渚。我生本飘飘，今复在何许。石根青枫林，猿鸟聚俦侣。月明游子静，畏虎不得语。中夜怀友朋，乾坤此深阻。浩荡前后间，佳期付荆楚。,Late Clearing,"Sunlight cast back, slanting, now breaks through everywhere, 
the floating clouds thin, not yet going back.
River rainbow, bright, drinks from the river afar,
rain in the gorges, a remainder still falling.
At last ducks and wild geese go off high above, 
and I sense that the bears are getting fat.
Autumn equinox, the traveler is still here,
dew on bamboo, ever so faint in the evening."
64,白帝,白帝城中云出门，白帝城下雨翻盆。高江急峡雷霆斗，古木苍藤日月昏。戎马不如归马逸，千家今有百家存。哀哀寡妇诛求尽，恸哭秋原何处村。,White Emperor,"In White Emperor Castle clouds come out the gates,
below White Emperor Castle the rain is as if from an overturned basin. 
The high river runs fast through the gorges, peals of thunder contend,
azure trees and gray vines, sun and moon are made murky.
The war horse is not so free from restraint as the horse returning home, 
of a thousand households now there are a hundred households surviving.
Wailing lament, a widow, taxed until nothing is left,
weeps piteously on the autumn plain in a village somewhere."
65,第五弟丰独在江左近三四载寂无消息觅使寄此二首（其二）,闻汝依山寺，杭州定越州。风尘淹别日，江汉失清秋。影著啼猿树，魂飘结蜃楼。明年下春水，东尽白云游。,"
My Fifth Younger Brother Du Feng Is Alone in Jiangzuo: In the Past Three or Four years I've Had No News of Him, and I Seek out a Messenger to Send These Two Poems II","I have heard you are staying in a mountain temple, 
if not Hangzhou, then certainly Yuezhou.
War's dust has lengthened the days of our parting,
at Yangzi and Han I waste another clear autumn. 
My shadow cleaves to trees where the gibbons howl, 
but my soul wafts where ocean mirages form.
Next year when the spring waters come down,
I'll seek you in white clouds where the east ends."
66,第五弟丰独在江左近三四载寂无消息觅使寄此二首（其一）,乱后嗟吾在，羁栖见汝难。草黄骐骥病，沙暖鹡鸰寒。楚设关城险，吴吞水府宽。十年朝夕泪，衣袖不曾干。," My Fifth Younger Brother Du Feng Is Alone in Jiangzuo: In the Past Three or Four years I've Had No News of Him, and I Seek out a Messenger to Send These Two Poems I","Amazing that I survived the Rebellion, 
lodging on travels, it is hard to see you.
The plants turn yellow, the fine steed is sick,
day grows late on the sands, the wagtails cold. 
Here in Chu is set the fastness of a barrier fort, 
Wu swallows the breadth of watery precincts. 
Ten years of tears from dawn to evening,
robe and sleeves, never dry."
67,返照,楚王宫北正黄昏，白帝城西过雨痕。返照入江翻石壁，归云拥树失山村。衰年肺病唯高枕，绝塞愁时早闭门。不可久留豺虎乱，南方实有未招魂。,Sunlight Cast Back,"North of the Chu king's palace, it is just now turning dusk, 
west of White Emperor Castle the traces of passing rain.
Sunlight cast back enters the river, rolling the cliffs of stone,
returning clouds hug the trees, I lose sight of the mountain village. 
In my years of infirmity, sick in the lungs, I can only rest aloof,
on this farthest frontier, worried by the times, I long ago shut my gate.
I cannot long remain where wild dogs and tigers run wild -
in the south there truly is an unsummoned soul."
68,寄岑嘉州州据蜀江外,不见故人十年余，不道故人无素书。愿逢颜色关塞远，岂意出守江城居。外江三峡且相接，斗酒新诗终日疏。谢朓每篇堪讽诵，冯唐已老听吹嘘。泊船秋夜经春草，伏枕青枫限玉除。眼前所寄选何物，赠子云安双鲤鱼。,Sent to Cen of Jiazhou,"I haven't seen my old friend for more than ten years, 
I can't bear that my old friend has never sent a letter.
I wished to meet him face to face, the frontier passes too far,
I never expected he would come out to govern and live in a river city.
The outer river and the Three Gorges are connected to one another, 
yet a measure of ale and new poems are still remote.
Every piece by our Xie Tiao deserves to be chanted out loud,
Feng Tang is already too old, so recommend me as you please.
I moored my boat on an autumn night, now I pass through the plants of spring,
bedridden among green maples, cut off from the steps of jade. 
What object from before my eyes will I send you? -
from Yun'an I present to you a pair of carp."
69,寄常徵君,白水青山空复春，徵君晚节傍风尘。楚妃堂上色殊众，海鹤阶前鸣向人。万事纠纷犹绝粒，一官羁绊实藏身。开州入夏知凉冷，不似云安毒热新。,"Sent to Chang, Summoned Gentleman","White waters and green mountains, it is spring again in vain,
the Summoned Gentleman's later days are passed near the dust of war. 
A Chu consort in the hall, her beauty different from others,
an ocean crane by the steps sings out facing people.
Ten thousand problems all jumbled, and still no grain to eat, 
bound to a single post, yet, in fact, hiding away.
When summer comes to Kaizhou, you can feel coolness,
not like here at Yun'an with its poisonous heat renewed."
70,客居,客居所居堂，前江后山根。下堑万寻岸，苍涛郁飞翻。葱青众木梢，邪竖杂石痕。子规昼夜啼，壮士敛精魂。峡开四千里，水合数百源。人虎相半居，相伤终两存。蜀麻久不来，吴盐拥荆门。西南失大将，商旅自星奔。今又降元戎，已闻动行轩。舟子候利涉，亦凭节制尊。,Lodging As a Sojourner,"The hall where I lodge, lodging as a sojourner,
has the river in front and the mountain's base behind. 
Down into this gulch, a ten-thousand-foot slope,
where gray waves swell, crashing over. 
All the treetops are a luxuriant green,
slanting and straight, cracks on rock mixed together. 
The cuckoo cries there day and night,
and the bold man's soul shrinks back.
The gorges open for four thousand leagues,
as the waters bring together several hundred streams. 
Half inhabited by men, half by tigers,
they harm each other but at last both survive. 
Hemp from Shu has long not come,
and Wu's salt is held up at Jingmen. 
The southwest lost its chief general,
and merchants fled like shooting stars.
Recently another commander has been sent down, 
I have heard that his great coach has set out.
The boatmen will wait until it is advantageous to venture,
this too depends on respect for his command.
I am in the middle of my journey,
I can't get to consider making a living. 
I lie in sorrow, my sick feet useless,
or walk slowly to look at the small garden.
The short patch is bordered by emerald grasses, 
I gaze deeply troubled, longing for the Prince. 
The phoenix has gone off, along with his mate,
sparrows in the hedge make a dense racket at dusk. 
Observing these things, I imagine my homeland, 
for ten years I've left my tumble-down village.
At sunset how many wings return to rest? -
dusk comes in vain to the northern woods 
How can I get to turn over the eight dark seas 
and wash clean the universe for my lord?
If Hou Ji and Qi found the effort easy
how would the Dog Rong be worth overwhelming? 
A man of learning, aging, without achievements,
servant of the throne, worrying about the frontiers all around. 
In my trunk I have an old brush,
when the feeling takes me, I sometimes pick it up again."
